Bit-Length N,d_min_ratio,d_max_ratio,Success Rate,Avg. Convergents,Std Convergents,Min Convergents,Max Convergents,Avg. Time (s),Std Time (s),Min Time (s),Max Time (s),Ratio Midpoint
256,0.0,0.3333333333333333,1.0,36.052,4.709702326049918,19,51,0.00041760969161987307,6.481164939229813e-05,0.0003218650817871094,0.0010461807250976562,0.16666666666666666
256,0.3333333333333333,0.6666666666666666,0.942,43.642,26.50626031714018,25,162,0.00043539476394653323,5.5419719615573896e-05,0.00034880638122558594,0.0009064674377441406,0.5
256,0.6666666666666666,1.0,0.526,90.122,56.28977807737387,21,174,0.0004508175849914551,5.605255378144285e-05,0.00033283233642578125,0.0008566379547119141,0.8333333333333333
256,1.0,1.3333333333333333,0.232,121.784,47.82481933055262,25,172,0.0004897308349609375,0.0001058878323475339,0.0003516674041748047,0.001190185546875,1.1666666666666665
512,0.0,0.3333333333333333,1.0,72.668,6.403262918231611,57,95,0.0014390053749084473,0.0029536271416867035,0.0009191036224365234,0.06698060035705566,0.16666666666666666
512,0.3333333333333333,0.6666666666666666,0.96,82.91,44.24673886288119,53,330,0.001195368766784668,0.0002359568444892331,0.0009009838104248047,0.0029249191284179688,0.5
512,0.6666666666666666,1.0,0.494,187.63,112.3351285217585,55,340,0.0012229561805725097,0.00022442235299766634,0.000865936279296875,0.002279996871948242,0.8333333333333333
512,1.0,1.3333333333333333,0.228,247.23,94.88956265048333,59,338,0.0012602763175964355,0.00023364359516353175,0.0008985996246337891,0.002561330795288086,1.1666666666666665
1024,0.0,0.3333333333333333,1.0,148.548,10.065172427733168,125,185,0.0031646666526794435,0.0003216320211768033,0.002657175064086914,0.004607200622558594,0.16666666666666666
1024,0.3333333333333333,0.6666666666666666,0.946,173.428,100.56120930060456,119,617,0.003229835033416748,0.0003910176460119698,0.002557992935180664,0.005168437957763672,0.5
1024,0.6666666666666666,1.0,0.516,366.002,223.1733720585859,125,642,0.0036735849380493163,0.0006900495947938294,0.0028052330017089844,0.007210254669189453,0.8333333333333333
1024,1.0,1.3333333333333333,0.27,476.498,199.7361709756147,117,648,0.0037812557220458986,0.0006095962752908102,0.0027670860290527344,0.006478548049926758,1.1666666666666665
2048,0.0,0.3333333333333333,1.0,297.66,13.193498398832661,263,339,0.009788413047790528,0.001106923757965866,0.008074760437011719,0.015016555786132812,0.16666666666666666
2048,0.3333333333333333,0.6666666666666666,0.944,348.552,205.97501619371218,249,1252,0.009687955379486085,0.0009582107383406918,0.008515357971191406,0.014475345611572266,0.5
2048,0.6666666666666666,1.0,0.55,703.126,446.79926379079905,269,1260,0.010229005813598632,0.0027096896681515366,0.008433103561401367,0.06552672386169434,0.8333333333333333
2048,1.0,1.3333333333333333,0.26,961.606,394.31886432682876,261,1268,0.011386539459228516,0.001496778658509587,0.008762598037719727,0.01854538917541504,1.1666666666666665
